genus	in_phaz_set	phaz_count	known_phac
JAJFFW01	True	1	False
JAJFGI01	True	1	False
JAJFJE01	True	1	False
JAJPKK01	True	10	False
JAJTHJ01	True	2	False
JAJUGB01	True	1	False
JAJUGE01	True	1	False
JAJXWB01	True	9	False
JAJYRX01	True	1	False
JAJZVS01	True	1	False
JAKANT01	True	1	False
JAKAWQ01	True	1	False
JAKAXS01	True	2	False
JAKFDI01	True	1	False
JAKFVA01	True	2	False
JAKFWF01	True	1	False
JAKFWI01	True	2	False
JAKOQB01	True	1	False
JAKOWB01	True	1	False
JAKPAM01	True	1	False
JAKPBU01	True	1	False
JAKPQE01	True	1	False
JAKZSU01	True	1	False
JALCLA01	True	1	False
JALHMH01	True	3	False
JALHMQ01	True	1	False
JALORV01	True	6	False
JALQUL01	True	1	False
JALYJG01	True	1	False
JALYMT01	True	1	False
JALYOK01	True	3	False
JALYUM01	True	3	False
JALZIF01	True	1	False
JALZUV01	True	2	False
JAMHWF01	True	3	False
JAMLIN01	True	2	False
JAMXLO01	True	4	False
JANFMV01	True	1	False
JANLTH01	True	1	False
JANLTP01	True	1	False
JANMAS01	True	1	False
JANMDU01	True	6	False
JANMEX01	True	2	False
JANMMJ01	True	2	False
JANNPJ01	True	1	False
JANNWF01	True	2	False
JANOBJ01	True	2	False
JANPJV01	True	1	False
JANQGH01	True	1	False
JANQMK01	True	1	False
JANQMX01	True	2	False
JANQMY01	True	1	False
JANQPV01	True	1	False
JANQPX01	True	2	False
JANQQC01	True	1	False
JANQRX01	True	1	False
JANXMO01	True	1	False
JANXQG01	True	1	False
JANXSS01	True	2	False
JANXVY01	True	1	False
JANYCG01	True	8	False
JANYHF01	True	1	False
JANYJJ01	True	2	False
JANYJL01	True	1	False
JAOAEA01	True	2	False
JAPOKJ01	True	1	False
JAQGLW01	True	2	False
JAQGMJ01	True	4	False
JAQGMR01	True	1	False
JAQGMV01	True	2	False
JAQSWP01	True	2	False
JARJEH01	True	1	False
JASHSH01	True	1	False
JASHVB01	True	2	False
JASLFM01	True	1	False
JASLMY01	True	1	False
JASMHE01	True	1	False
JAUASW01	True	4	False
JAUHXT01	True	1	False
JAUIAI01	True	3	False
JAUICS01	True	1	False
JAURZS01	True	1	False
JAUSIF01	True	1	False
JAUWAE01	True	1	False
JAVBXY01	True	1	False
JAVDCA01	True	2	False
JAVJUV01	True	1	False
JAVKBW01	True	1	False
JAVKLU01	True	1	False
JAVVHE01	True	1	False
JAWKVD01	True	2	False
JAWKXE01	True	1	False
JAWLAT01	True	2	False
JAWXCE01	True	1	False
JAXDMU01	True	3	False
JAXMEQ01	True	1	False
JAXMHB01	True	1	False
JAYODW01	True	1	False
JAYPBG01	True	1	False
JAYRSJ01	True	2	False
JAYSFC01	True	1	False
JAYYZW01	True	1	False
JAZKIX01	True	2	False
JBAQKU01	True	1	False
JBAWAM01	True	1	False
JBAZDC01	True	1	False
JBBPYC01	True	2	False
JBBPYR01	True	1	False
JBBQZO01	True	1	False
JBBROS01	True	4	False
JBBSSF01	True	2	False
JBBSUX01	True	1	False
JBCBAP01	True	1	False
JBCCFA01	True	1	False
JBDKJB01	True	1	False
JBDSBD01	True	1	False
JBDSEG01	True	2	False
JBDSTZ01	True	1	False
JBDWFY01	True	1	False
JBEAOO01	True	1	False
JBEEJL01	True	2	False
JBEEJZ01	True	2	False
JBEIGE01	True	1	False
JBFKUL01	True	1	False
JBFWRI01	True	1	False
JBFWTO01	True	1	False
JBFWYO01	True	1	False
JBFXIE01	True	1	False
JBGAHD01	True	1	False
JBGAMJ01	True	1	False
JBGSWL01	True	1	False
JBGTBD01	True	1	False
JBJXHN01	True	1	False
JBLZUR01	True	1	False
JBMYXZ01	True	1	False
JBOHHM01	True	1	False
JBOIGA01	True	1	False
JBPBQZ01	True	1	False
JBPCXK01	True	1	False
JBQCGO01	True	1	False
JBQLZQ01	True	1	False
Janthinobacterium	True	26	False
Jiella	True	2	False
KBS50	True	1	False
Kaistia	True	3	False
Keguizhuia	True	1	False
Kibdelosporangium	True	1	False
Kiloniella	True	2	False
Kineosphaera	True	1	False
Kinneretia	True	1	False
Kitasatospora	True	1	False
Kmv21	True	1	False
Kordiimonas_A	True	1	False
Kribbella	True	1	False
Kumtagia	True	5	False
L1I39	True	2	False
LBCQ02	True	1	False
LGRD01	True	4	False
LMDS01	True	14	False
LMSL01	True	1	False
LMUX01	True	3	False
LMUY01	True	1	False
LSCE01	True	3	False
Lacibacterium	True	1	False
Lacisediminimonas	True	1	False
Lacustribacter	True	7	False
Lampropedia	True	4	False
Larsenimonas	True	3	False
Lautropia	True	6	False
Legionella	True	2	False
Leisingera	True	2	False
Lentilitoribacter	True	2	False
Lentzea	True	9	False
Leptospira_A	True	1	False
Lichenihabitans	True	2	False
Limnobacter	True	11	False
Limnohabitans	True	29	False
Limnohabitans_A	True	39	False
Litorivicinus	True	1	False
Loktanella	True	1	False
Luteibacter	True	13	False
Luteimonas	True	38	False
Luteimonas_C	True	2	False
Lysobacter	True	10	False
Lysobacter_C	True	4	False
Lysobacter_I	True	29	False
Lysobacter_J	True	10	False
Lysobacter_K	True	4	False
M0108	True	1	False
M30B80	True	2	False
MED-G105	True	1	False
MH13	True	5	False
Macromonas_A	True	1	False
Macromonas_B	True	2	False
Magnetospirillum	True	3	False
Malikia	True	3	False
Mangrovicoccus	True	2	False
Maricaulis	True	2	False
Marilutibacter	True	5	False
MarineAlpha4-Bin1	True	2	False
Marinobacter	True	21	False
Marinobacter_A	True	5	False
Marinoscillum	True	1	False
Maritimibacter	True	1	False
Melaminivora	True	7	False
Mesobacterium	True	1	False
Mesorhizobium	True	96	True
Mesorhizobium_A	True	4	False
Mesorhizobium_B	True	1	False
Mesorhizobium_K	True	3	False
Mesorhizobium_L	True	1	False
Methylibium	True	5	False
Methylobacterium	True	32	False
Methylocapsa	True	13	False
Methyloceanibacter	True	20	False
Methylocystis	True	18	False
Methylopila	True	2	False
Methylosinus	True	4	False
Methylotenera_A	True	1	False
Methylovirgula	True	9	False
Micavibrio_A	True	1	False
Micavibrio_C	True	2	False
Microaerobacter	True	1	False
Microbaculum	True	2	False
Micromonospora	True	8	False
Microvirga	True	10	False
Minwuia	True	2	False
MnTg02	True	1	False
Modestobacter	True	1	False
Modicisalibacter	True	2	False
Montanilutibacter	True	1	False
Mycetohabitans	True	5	False
Mycobacterium	True	1	False
Mycoplana	True	1	False
Myxococcus	True	1	False
NAT127	True	1	False
NCED01	True	1	False
NCEH01	True	5	False
NORP139	True	1	False
Neomesorhizobium	True	1	False
Neorhizobium	True	20	False
Neoroseomonas	True	2	False
Neptunomonas	True	1	False
Nevskia	True	1	False
Nitratireductor	True	2	False
Nitrobacter	True	4	False
Nitrogeniibacter	True	2	False
Nitrospirillum	True	1	False
Niveispirillum	True	4	False
Nocardia	True	8	False
Notoacmeibacter	True	2	False
Noviherbaspirillum	True	35	False
Noviherbaspirillum_A	True	6	False
Novilysobacter	True	6	False
Novilysobacter_A	True	1	False
